ns3,omnet,geom,seed,dist,att_ns3,att_omnet
0.2704331266175106,0.18182429648811577,mainstreet,1,100,102395,118939
0.26438111476474646,0.18838407836543733,mainstreet,1,110,49266,54718
0.24758141236736186,0.19273799252228932,mainstreet,1,120,68325,69540
0.23692650393848713,0.17425122039527075,mainstreet,1,130,74521,80097
0.2119673956967839,0.17887995377281263,mainstreet,1,140,101459,103835
0.2081252697121016,0.16939931435385303,mainstreet,1,150,81105,80508
0.20047029815990136,0.1642464401522628,mainstreet,1,160,43802,42558
0.25256831364875254,0.17502579979360164,mainstreet,1,170,14309,14535
0.21485478015328763,0.15761474101658848,mainstreet,1,180,19832,20677
0.20659488559892328,0.17570183930300096,mainstreet,1,190,17832,18594
0.1876300097073915,0.16902701285077368,mainstreet,1,200,14422,15252
0.19925804828973842,0.177276390008058,mainstreet,1,210,15904,16133
0.24085973853312653,0.20977011494252873,mainstreet,1,220,4513,4524
0.5303643724696356,0.38957345971563984,mainstreet,1,230,988,1055
0.48676171079429736,0.43213728549141966,mainstreet,1,240,491,641
0.5680473372781065,0.34944237918215615,mainstreet,1,250,169,269
0.8699347144673006,0.6798882839168335,mainstreet,2,0,150263,141788
0.70000462028923,0.4715614914249866,mainstreet,2,10,129862,132303
0.5703574910300606,0.3421006426238719,mainstreet,2,20,99499,85431
0.5188461015104096,0.3028969223819397,mainstreet,2,30,80839,86333
0.48163726536505747,0.25692534293978814,mainstreet,2,40,111503,112702
0.4051930083475534,0.23883785515915404,mainstreet,2,50,108415,117025
0.35447532987783437,0.23572393515575335,mainstreet,2,60,261612,251680
0.33962844473855286,0.22153276880381415,mainstreet,2,70,429169,421590
0.3326450585419377,0.20890971926336221,mainstreet,2,80,215999,211230
0.2858783965908945,0.19779300180481743,mainstreet,2,90,155818,160127
0.26114240967524416,0.18640271450084828,mainstreet,2,100,91946,104918
0.2977817813309312,0.20935993572576325,mainstreet,2,110,44405,44808
0.23772262197153896,0.1847382798845143,mainstreet,2,120,81023,77239
0.2464668676187182,0.18220074261802321,mainstreet,2,130,80948,84835
0.2238463743192892,0.17062968651188,mainstreet,2,140,108159,110690
0.20883744740357843,0.16789610903115,mainstreet,2,150,80091,80931
0.20456420126477867,0.1691495426715911,mainstreet,2,160,40007,40343
0.26135105204872644,0.18698496304477105,mainstreet,2,170,11739,11771
0.23474970896391154,0.17595444244290778,mainstreet,2,180,17180,17209
0.19479538933910504,0.16818734793187348,mainstreet,2,190,19867,19728
0.18828349538311012,0.17670141017780502,mainstreet,2,200,16353,16310
0.16320892410341953,0.17090549747750558,mainstreet,2,210,19184,19227
0.2504391957837205,0.19111630625365283,mainstreet,2,220,5123,5133
0.5356773526370218,0.3915094339622642,mainstreet,2,230,967,1060
0.5827956989247312,0.4224,mainstreet,2,240,465,625
0.5935483870967742,0.42748091603053434,mainstreet,2,250,155,262
