timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
7268.928563,0,50,0,726,8,0,1,1,255,0,20,1,12,14,1,0,291,513.160751779398,311.22665034137935,0,0,0,0,1,1
7305.928563,0,35,0,730,5,0,2,2,255,10,20,1,12,14,1,0,291,2098.898871003693,964.2463598218386,0,0,0,0,1,1
7379.928563,0,20,0,737,9,0,3,3,255,0,20,1,12,14,1,0,291,424.84535003498456,366.7946033144274,0,0,0,0,1,1
7406.928563,0,54,0,740,6,0,3,3,255,20,20,1,12,14,0,1,291,32.22203063886855,9.94743784649031,0,0,0,0,1,1
7479.9285629999995,0,78,0,747,9,0,3,3,255,0,20,1,12,14,1,0,291,66242.75391033894,57811.25690434153,0,0,0,0,1,1
7505.928563,0,80,0,750,5,0,2,2,255,10,20,1,12,14,1,0,291,9225.826306905392,6653.311692481605,0,0,0,0,1,1
7579.928563,0,40,0,757,9,0,3,3,255,0,20,1,12,14,1,0,291,1486.9940982775404,631.7334630928059,0,0,0,0,1,1
7605.928563,0,25,0,760,5,0,4,4,255,30,20,1,12,14,1,0,291,129.97891547559485,98.26170928404069,0,0,0,0,1,1
7668.9285629999995,0,89,0,766,8,0,1,1,255,0,20,1,12,14,1,0,291,38795.61480093104,27665.535826747546,0,0,0,0,1,1
7697.9285629999995,0,73,0,769,7,0,2,2,255,0,20,1,12,14,1,0,291,1.1932906817689521,0.06766945139068707,1,1,0.2635983,0,1,1
7768.928563,0,42,0,776,8,0,1,1,255,0,20,1,12,14,1,0,291,1752.0982757037127,1092.7911380020448,0,0,0,0,1,1
7797.928563,0,29,0,779,7,0,2,2,255,0,20,1,12,14,1,0,291,460.8706901520738,3.524882439034771,0,0,0,0,1,1
7828.9285629999995,0,54,0,782,8,0,4,4,255,20,20,1,12,14,0,1,291,52.44804180613363,35.56715975957721,0,0,0,0,1,1
